Category,Skill,Description,Source,Link
GSD Workflow — Проект і Milestone,gsd-new-project,Ініціалізує новий проект з глибоким збором контексту та PROJECT.md,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-new-milestone,Запускає новий milestone цикл — оновлює PROJECT.md і маршрутизує до вимог,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-complete-milestone,Архівує завершений milestone і готує до наступної версії,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-milestone-summary,Генерує comprehensive summary з артефактів milestone для онбордингу,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-new-workspace,Створює ізольований workspace з копіями репо та незалежним .planning/,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-list-workspaces,Показує активні GSD workspaces та їх статус,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-remove-workspace,Видаляє GSD workspace та очищає worktrees,GSD v1.36,local
GSD Workflow — Проект і Milestone,gsd-workstreams,Управляє паралельними workstreams — list/create/switch/status/complete,GSD v1.36,local
GSD Workflow — Управління фазами,gsd-add-phase,Додає фазу в кінець поточного milestone у roadmap,GSD v1.36,local
GSD Workflow — Управління фазами,gsd-insert-phase,Вставляє термінову роботу як decimal фазу між існуючими,GSD v1.36,local
GSD Workflow — Управління фазами,gsd-remove-phase,Видаляє майбутню фазу з roadmap і перенумеровує наступні,GSD v1.36,local
GSD Workflow — Управління фазами,gsd-analyze-dependencies,Аналізує залежності між фазами та пропонує Depends on для ROADMAP.md,GSD v1.36,local
GSD Workflow — Управління фазами,gsd-plan-milestone-gaps,Створює фази для закриття прогалин виявлених milestone аудитом,GSD v1.36,local
GSD Workflow — Планування,gsd-discuss-phase,Збирає контекст фази через адаптивні питання перед плануванням,GSD v1.36,local
GSD Workflow — Планування,gsd-research-phase,Досліджує як реалізувати фазу (standalone),GSD v1.36,local
GSD Workflow — Планування,gsd-plan-phase,Створює детальний план фази (PLAN.md) з verification loop,GSD v1.36,local
GSD Workflow — Планування,gsd-list-phase-assumptions,Виводить допущення Claude про підхід до фази перед плануванням,GSD v1.36,local
GSD Workflow — Планування,gsd-ai-integration-phase,Генерує AI design contract (AI-SPEC.md) для фаз з AI системами,GSD v1.36,local
GSD Workflow — Планування,gsd-ui-phase,Генерує UI design contract (UI-SPEC.md) для frontend фаз,GSD v1.36,local
GSD Workflow — Виконання,gsd-execute-phase,Виконує всі плани у фазі з wave-based паралелізацією,GSD v1.36,local
GSD Workflow — Виконання,gsd-quick,Виконує швидке завдання з GSD гарантіями без optional агентів,GSD v1.36,local
GSD Workflow — Виконання,gsd-fast,Виконує тривіальне завдання inline — без субагентів і планування,GSD v1.36,local
GSD Workflow — Виконання,gsd-do,Маршрутизує вільний текст до правильної GSD команди автоматично,GSD v1.36,local
GSD Workflow — Виконання,gsd-autonomous,Запускає всі фази автономно — discuss→plan→execute для кожної,GSD v1.36,local
GSD Workflow — Виконання,gsd-reapply-patches,Повторно застосовує локальні модифікації після оновлення GSD,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-verify-work,Валідує побудовані функції через conversational UAT,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-validate-phase,Ретроактивно аудитує та заповнює Nyquist validation gaps,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-review,Запитує cross-AI peer review планів фаз від зовнішніх AI CLI,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-code-review,Перевіряє файли змінені під час фази на баги та security,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-code-review-fix,Auto-fix знайдених code review проблем з атомарними commits,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-ui-review,Ретроактивний 6-pillar візуальний аудит frontend коду,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-eval-review,Ретроактивний аудит evaluation coverage AI фази,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-secure-phase,Ретроактивно верифікує threat mitigations для завершеної фази,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-add-tests,Генерує тести для завершеної фази на основі UAT критеріїв,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-audit-fix,Autonomous audit-to-fix pipeline — знаходить/виправляє/тестує,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-audit-milestone,Аудитує завершеність milestone проти оригінального наміру,GSD v1.36,local
GSD Workflow — Якість і Review,gsd-audit-uat,Cross-phase аудит всіх незавершених UAT і verification items,GSD v1.36,local
GSD Workflow — Навігація і прогрес,gsd-next,Автоматично переходить до наступного логічного кроку GSD workflow,GSD v1.36,local
GSD Workflow — Навігація і прогрес,gsd-progress,Перевіряє прогрес проекту і маршрутизує до execute або plan,GSD v1.36,local
GSD Workflow — Навігація і прогрес,gsd-health,Діагностує здоров'я planning директорії і опціонально ремонтує,GSD v1.36,local
GSD Workflow — Навігація і прогрес,gsd-stats,Показує статистику проекту — фази/плани/вимоги/git метрики,GSD v1.36,local
GSD Workflow — Навігація і прогрес,gsd-manager,Інтерактивний command center для управління кількома фазами,GSD v1.36,local
